Sr. No.,Market Name,Fruit/Crop,Fruit/Crop Variety,Date/Time,Price (per quintal)
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-04,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-07-04,4500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-07-03,12000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-07-03,4500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-03,10000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-03,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-07-02,4500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-02,14000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-07-02,11000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-02,20000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-30,14000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-27,12500.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-27,18000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-27,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-27,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-27,5000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-27,12500.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-26,13000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-26,12000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-26,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-26,4500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-26,20000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-26,12000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-25,13000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-25,12000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-25,11500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-25,20000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-25,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-25,4500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-23,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-23,13000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-23,4500.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-23,20000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-23,12000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-22,13000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-22,20000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-22,7000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-22,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-22,4500.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-22,14500.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-21,8000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-21,4500.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-21,18000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-21,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-21,20000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-21,17500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-21,13000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-20,22000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-20,16000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-20,4500.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-20,17500.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-20,10000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-20,7000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-20,13000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-20,18000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-19,7000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-19,15000.0
,F & V Market Ganderbal,Cherry,other-medium,2023-06-19,6000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-19,13000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2023-06-19,14000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-medium,2023-06-19,8500.0
,F & V Market Parimpora Srinagar,Cherry,cherry-small,2023-06-19,7500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-19,14000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-19,10000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-19,4500.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-19,22000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-18,4500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-18,16000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-18,14000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-18,22000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-18,11000.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-16,13500.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-16,5500.0
,F & V Market Ganderbal,Cherry,other-medium,2023-06-16,7000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-16,5000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-16,13500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-16,13000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-16,8000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-16,14000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-16,22000.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-15,9000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-15,5500.0
,F & V Market Parimpora Srinagar,Cherry,cherry-small,2023-06-15,9500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-15,13000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-15,22000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-medium,2023-06-15,18000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-15,13000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-15,17500.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-15,17500.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2023-06-15,19000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-15,9000.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-14,14500.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-14,10000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-14,15500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-14,16000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-14,15000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-14,20000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-14,14000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-14,9000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-13,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-13,16000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-06-13,14000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-13,18500.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-13,15000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-13,10000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-13,9000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-12,15000.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-12,13500.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-12,10000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-12,20000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-12,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-small,2023-06-12,10000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-12,16000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-11,10000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-11,14000.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-11,20500.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-11,22500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-11,16000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-11,20000.0
,F & V Market Ganderbal,Cherry,other-medium,2023-06-11,9500.0
,F & V Market Ganderbal,Cherry,other-medium,2023-06-09,7500.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-09,14500.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-09,24000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-09,24500.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-09,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-09,16000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-09,10000.0
,F & V Market Ganderbal,Cherry,other-large,2023-06-08,24000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-06-08,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-08,16000.0
,F & V Market Ganderbal,Cherry,cherry-medium,2023-06-08,15000.0
,F & V Market Ganderbal,Cherry,cherry-large,2023-06-08,25000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-06-08,10000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-06-07,16000.0
